,Reviews,Replies,Summary
0,"Parking: cramped and crowded. The plaza is very busy so cars are constantly coming in and out. It's in the same plaza as Duc Huong, which gets plenty of customers coming and going.   Front: they have a big banner over the door with their name on it. Can't miss it.   Inside: one line towards the register. It looks like they used to do indoor dining but all the tables are blocked off. Their dim sum items are displayed in glass so it's nice to see what they have. Menu is hung high on the wall. They still have their barriers up which is fine with me.   Service: I haven't been to one of these places in a while so getting yelled at by the Auntie was very nostalgic. I didn't take it personally and no one else should. The uncle was much nicer when he was helping me with the roast duck and pork ears. I do wish the pork ears were sliced thinner but guess no one really has time for that. The Auntie speaks at least three languages: English, Cantonese and Vietnamese.   Food: I would say better than average. Their shumai was huge as were most other items. I ordered quite a few items and everything tasted good. It satisfied the dim sum craving. I am pretty sensitive to overly salty food but eating this, I was fine.   Price: average pricing  Overall, I will definitely be back.   (Ok so the reason why I got yelled at was because  I asked to see the itemized receipt 15 minutes after I had already paid and left. I was waiting for my Duc Huong order and I wasn't able to calculate why my order came out to $63. I thought I got half a duck but it turned out, I got a whole duck, which was what I ordered but I also saw half a duck get hung back up when I was ordering so I got confused. The uncle that helped me remembered that I spoke Chinese so he reminded the Auntie when she was shit talking about me in Chinese. It was pretty funny, I didn't take it personally and I still got what I wanted, the itemized receipt. I checked the boxes when I got back to the car and I did indeed get a whole duck.)",Bullet points= - Better than average food. - Large shumai and other items. - Tasty dishes. - Satisfies dim sum craving. - Not overly salty.,"Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
1,"This place is horrible!  Ordered some items on doordash... Cocktail buns - never got them, they substituted with more hot dog buns instead of contacting me or refunding me! Hot dog buns - there was only half a hot dog in the bun so it's 90% bread. This is the first time I've seen a hot dog bun where the hot dog wasn't whole! I get times are hard but what the....  Fried Taro with shrimp/pork - I threw this out, it smelled like ammonia :( which means they either started with pork or shrimp that went bad or they refried and served me old food? Either way I actually had taken a couple of bites of this before noticing it was off? Got a stomach ache a few hours later. Har Gow - only thing that was OK. It gets 1 star for this.   TLDR - SKIP, old rotten food, they're totally skimping! Go anywhere else.","Bullet points= - Hot dog bun: 90% bread, only half a hot dog. - Fried Taro with shrimp/pork: smelled like ammonia, potentially bad ingredients or old food. - Har Gow: acceptable quality.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
2,Came here many times getting various items. I like their variety of dim sum to go items and they have decent bbq pork. The photos I posted are some of the common things I get when I come by here.,Bullet points= - Variety of dim sum to go items. - Decent BBQ pork.,"Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
3,I got so much food for what I paid! They literally STUFFED the chow mein into the container until it was packed (only $6 too!) The pan fried chive dumplings were definitely more heavy and dense than the ones I'm used to but they were still tasty. I also had to grab an egg tart for dessert because its must. It was huge! I only took off a star because everything seemed a little extra greasy. But the flavor was there and I definitely recommend this spot if you're craving dimsum on a budget.,"Bullet points= - Chow mein packed in container. - Heavy and dense chive dumplings, still tasty. - Egg tart for dessert, large size. - Food slightly greasy. - Good flavor overall.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
4,This satisfied my dim sum fix. Not the best but still pretty tasty. Each dim sum piece is hearty. The beef noodle roll was a sub for the prawn one but texture was still good.  I'd order again if I don't have time to go into a restaurant.,"Bullet points= - Satisfied dim sum craving. - Not the best, but tasty. - Hearty dim sum pieces. - Beef noodle roll substituted prawn, good texture.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
5,"This place always seems to satisfy my emergency dim sum cravings! It definitely isnt the best nor do they have the greatest service but they have your regular fixings up until late afternoon!  The siu mai/har gow are large and hearty. Ok in flavor!  The fried items are only good when fresh. I tried random assortments at random times of the day & here is my take. the chinese donuts were quite hard and stale so I do not recommend. The shrimp ball is very large but a little too oily for my liking. Taro ball was ok, lacked flavor. & the turnip cake was almost all cake barely any other texture or flavor but very large. Sesame ball also ok!   They also have combo meals which i thought was very cool! The congee it comes with is not bad either.   They give you packet sauces 2 in 1 combo for to go orders. Labeled for Mandu! So it definitely has a different taste to it, but the chili oil is good and has a neutral flavor  Also have a $15 minimum on card.   All in all it isnt the best, cheapest, or tastiest. But when I get a random craving I seem to always find myself here bc of the variety and convenience.","Bullet points= - Siu mai/har gow: large, hearty, ok flavor. - Fried items: good when fresh. - Chinese donuts: hard, stale, not recommended. - Shrimp ball: large, too oily. - Taro ball: ok, lacks flavor. - Turnip cake: mostly cake, large, limited texture/flavor. - Sesame ball: ok. - Combo meals: available, cool. - Congee: not bad. - Packet sauces: 2 in 1 combo, labeled for Mandu, different taste, good chili oil with neutral flavor.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
6,"This review is for take-out only. I've ordered delivery from here through DoorDash multiple times and I've been very satisfied with the food each time. The prices are reasonable, the lunch specials are a great deal for a lot of food, and the food has been very good each time I've ordered.   I've been particularly impressed with their barbecue and roast meats. Their meats are much more flavorful and juicy compared to other local take-out dim sum places I've tried. The roast pork and roast duck have been good. The rice rolls are less dense than other places I've tried. Porridges are flavorful and other dim sum items I've tried generally have been delicious.  I consider this my go-to for take-out dim sum, as the food is significantly better compared to other local take-out dim sum places I've tried and the prices are reasonable.",Bullet points= - Very satisfied with the food. - Impressed with barbecue and roast meats. - Flavorful and juicy meats compared to other dim sum places. - Good roast pork and roast duck. - Less dense rice rolls. - Flavorful porridges. - Generally delicious dim sum items.,"Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
7,"I don't have to go to Ranch 99 for BBQ meats anymore!  Only thing I dislike is the parking and the area but they accept Visa/MC, offer succulent BBQ pork and roast pork and a limited selections of dim sum such as har gow, shiu mai, rice roll, steamed buns.. all satisfied my stressful Saturday.    I did not take photos of the dim sum because I ate it as soon as I got home but the meats I used it to pray and enjoyed after.  I would have stopped by but I thought it was a cash only establishment.","Bullet points= - Accepts Visa/MC. - Offers succulent BBQ pork and roast pork. - Limited dim sum selection (har gow, shiu mai, rice roll, steamed buns). - Satisfying for a stressful Saturday.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
8,"Dynasty didn't open until 11 am and I was craving dim sum at 10. My daughter and I were really hungry so we came here to grab some to go. Everything was horrible and a waste of money. Lack of flavor, thickness in some items where it shouldn't be as thick. Peanuts added into certain dishes that do not normally have peanuts was weird. I wanted this to be a small mom and pop shop where I can get my favorite dim sum dishes to go... sadly it wasn't close to anything I've had before.",Bullet points= - Horrible experience and waste of money. - Flavorless dishes. - Inappropriate thickness in some items. - Odd addition of peanuts in certain dishes.,"Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
9,"Price is really decent and food are tasty. I love duck and char xiu, roasted pork which are so juicy and fresh. I love all the dimsum option","Bullet points= - Tasty food. - Juicy and fresh duck, char xiu, roasted pork. - Love for all dimsum options.","Positive reviews of HK Dim Sum highlight the better than average food, large shumai and other items, and tasty dishes. Customers find the dim sum satisfying and not overly salty. They appreciate the variety of to-go items and the decent quality of BBQ pork. Many items like chive dumplings, egg tarts, and beef noodle rolls are praised for their taste and texture. Barbecue and roast meats are said to be flavorful and juicy compared to other dim sum places, and customers enjoy the less dense rice rolls and flavorful porridges. The restaurant also offers a huge dim sum selection and some unique options like preserved egg porridge with pork. Consistency in food quality and reasonable prices are also appreciated by customers. Negative reviews, on the other hand, mention issues such as the hot dog bun being mostly bread, fried taro with shrimp/pork smelling like ammonia, and the har gow having an acceptable but not outstanding quality. Some customers had a horrible experience, stating that the dishes were flavorless, had inappropriate thickness, and had odd additions like peanuts. The Chinese donuts were described as hard and stale, and shrimp balls were said to be too oily."
